date,tweet
2020-10-12 20:21:00,"Joe Biden’s agenda would be a catastrophe for Florida Seniors. For years, Biden tried to cut Social Security and Medicare. Now Biden is pledging mass amnesty and federal healthcare for illegal aliens—decimating Medicare and destroying Social Security...https://t.co/GgHP0NvpEe"
2020-10-12 20:25:00,"Biden refuses to answer questions on packing the Supreme Court. He says voters “don’t deserve” to know. If they win, Dems will pack the #SCOTUS w/ radical left justices who will shred the #2A, empower violent mobs, and shield deadly criminals &amp; terrorists. https://t.co/alVSZUDc73"
2020-10-12 20:27:00,"I did more in 47 months than Biden did in 47 years. Now, he is pushing the most far-left agenda ever put forward by a presidential nominee...
https://t.co/ON0iRBfFS2"
2020-10-12 20:38:00,"FLORIDA! Send in your absentee ballot if you have requested one. In-person Early Voting begins next week—so get your friends, get your family, get your neighbors, and GET OUT AND VOTE! Need more information? Go to https://t.co/gsFSgh2KPc! #MAGA https://t.co/WjjYSjZKKS"
2020-10-12 21:55:00,"READ: Left-wing Radicals Post Online Guide to ‘Disrupting‘ the Country if Election is Close https://t.co/cBqmI2Fudi via @BreitbartNews. They know it is over for them. Law &amp; Order will prevail, strong version!"
2020-10-12 22:01:00,Charles Hurt: The Democrats Have Wanted to Destroy the Court for Decades https://t.co/C9KjZnYNg6 via @BreitbartNews VOTE TRUMP!
2020-10-12 22:03:00,https://t.co/TNBaLBfHwZ
2020-10-12 22:08:00,WH Physician: Donald Trump Now Testing Negative for Coronavirus https://t.co/OR5PL893UO via @BreitbartNews
2020-10-13 00:13:00,"Great Florida Rally tonight. Big crowd, lot of enthusiasm (you win races with enthusiasm). Just got back. Tomorrow night it’s off to Pennsylvania and another BIG crowd. We are winning. Economy is starting to boom. Good timing!!!"
2020-10-13 00:26:00,"I keep reading Fake News stories that my campaign is running low on money. Not true, &amp; if it were so, I would put up money myself. The fact is that we have much more money than we had 4 years ago, where we spent much less money than Crooked Hillary, and still easily won, 306-223!"
2020-10-13 00:26:00,"....Much of the money we have spent is on our ground game, said to be the best ever put together. I’ll let you know how good it is on November 3rd. Very expensive to do, but opportunity could be BIG! I will spend additional money if we are not spending enough!"
2020-10-13 00:28:00,"RT @marklevinshow: There Joe goes again
https://t.co/w8bQGNcMbz"
2020-10-13 05:59:00,"Mitt can’t be thrilled about this! Joe also said yesterday he’s running for the U.S. Senate (again) and totally forgot where he was (wrong State!). Joe has never been a nice or kind guy, so it’s easier to find this obvious &amp; rapidly getting worse “dementia” unacceptable for USA! https://t.co/QIpH7RDfAV"
2020-10-13 06:05:00,"He must create a list, like I did! Always considered most important Presidential decision. Voter’s entitled to know!!!! https://t.co/yLaLTcOyPy"
2020-10-13 06:06:00,Thank you! https://t.co/6MRdXZ74AQ
2020-10-13 06:06:00,"RT @ACTBrigitte: God Bless You, Mr. President!!

I will always stand for TRUTH and I will always stand with YOU! https://t.co/GEqCy4qT8d"
2020-10-13 06:12:00,"RT @ACTBrigitte: Every time you hear a Biden commercial telling you all of his 'great' ideas, ask yourself...

Why didn't he do it during his 47 years of public service?"
2020-10-13 06:12:00,"RT @ACTBrigitte: I hear leftists saying they are worried about a peaceful transition of power if Trump loses...

This coming from the people who rioted in the streets and created fake Russia hoaxes and a phony impeachment because Hillary lost.

The hypocrisy is out of control, they're tone deaf!"
2020-10-13 06:20:00,"RT @TheLeoTerrell: Please listen to my Podcast: ""Your Vote is At Risk""  @ApplePodcasts @iTunes  https://t.co/ZfVvylWuhF https://t.co/HrNwScyzA2"
2020-10-13 06:22:00,"RT @TheLeoTerrell: Another lie by @SenKamalaHarris .  Thank God, I am a lawyer.  Constitution allows the nomination and approval of #AmyComeyBarrett .  Vote #Trump2020LandslideVictory https://t.co/ia5Vnd2aFO"
2020-10-13 06:23:00,"RT @ACTBrigitte: Are you worried about voter fraud/integrity in the upcoming election?

What do you think is the biggest threat to it?"
2020-10-13 06:23:00,"RT @ACTBrigitte: The only way to prove the polls are fake, is to turn out and vote on Election Day like never before!!"
2020-10-13 06:25:00,Far too many. His own Chief of Staff said they had “no idea what they were doing”. https://t.co/hdRbR930fR
2020-10-13 06:26:00,"RT @ACTBrigitte: When President Trump was elected, America was in big trouble, our economy was stagnant and our military was depleted.

If not for the China plague coming over here, this would be a blowout election.

President Trump saved this country once, he can do it again!"
2020-10-13 06:26:00,"RT @ACTBrigitte: Joe Biden said voters “don’t deserve” to know if he’ll pack the courts. 

Joe Biden doesn’t deserve to be President!"
2020-10-13 06:26:00,RT @ACTBrigitte: POLL: Which President (out of the four options) is the BEST?
2020-10-13 06:27:00,Thank you!!! https://t.co/1H2Fyp8xs8
2020-10-13 06:31:00,No thanks! https://t.co/wEyrvoKWr1
2020-10-13 06:35:00,RT @ACTBrigitte: VP @Mike_Pence had a GREAT night! @realDonaldTrump https://t.co/GYX9kkSsWv
2020-10-13 06:37:00,"RT @tatobin2: This is the most devastatingly powerful ad against a political opponent that I've ever seen, and it's a TRUE MUST WATCH.  Republican Joe Collins is running against Maxine Waters and he positively destroys her!  Wow!

https://t.co/PV3WBKkBmP"
2020-10-13 06:37:00,RT @The171111: Hiden Biden and Obama may have had Seal Team 6 killed! EXPLOSIVE: CIA Whistleblower Exposes Biden’s Alleged Role with the Deaths of Seal Team- Claims to have Documented Proof. RETWEET!!! https://t.co/uA6VAjiw35
2020-10-13 06:40:00,RT @OzzmanOsgood: This may be a severe shock to Democrats if Express's poll is a harbinger of how the election will really go. We know left wing bias in polling has become problematic. But this is a poll of Brits who tend to be further LEFT than Americans. That cannot be good news for Democrats. https://t.co/9x5UlsmxXK
2020-10-13 06:41:00,RT @TheBabylonBee: California Mandates All Food Must Be Consumed Through IV To Ensure Masks Are Never Removed https://t.co/mwFBnW5gzY
2020-10-13 06:42:00,"RT @thesamsorbo: Sen Ron Johnson just released his report on Biden’s corruption with China, Ukraine, and Russia. Fox doesn’t report about it, absurd. 
RT if you believe Americans deserve to know the truth"
2020-10-13 06:44:00,"RT @TrumpWarRoom: “The white race is a superior race, and the Negro race is an inferior race,” said Democrat Senator James Eastland.

Joe Biden spoke fondly of this racist TODAY: https://t.co/ZzbMSQGt1o"
2020-10-13 06:46:00,Wow. Our future V.P. So cool! https://t.co/l7lp69ZsYl
2020-10-13 06:47:00,RT @RyannMcEnany: My POTUS ❤️ @realDonaldTrump https://t.co/YQOMRt5bbO
2020-10-13 06:47:00,RT @stillgray: Dems keep claiming this doesn't happen. https://t.co/bDafECUoPj
2020-10-13 06:51:00,"Matt is great. Strong on Military, Vets and our great 2nd Amendment. Has my Complete and Total Endorsement!!! https://t.co/brrR1zOXay"
2020-10-13 06:52:00,RT @DanaPerino: What a pleasure to interview Jon Ponder! https://t.co/YwITHClX8W
2020-10-13 06:53:00,"RT @dailybriefing: With just weeks to go until election day, Judge Amy Coney Barrett made her case for serving on our nation’s highest court today. The Vice President of the United States - @Mike_Pence - joined @DanaPerino LIVE to react. Don’t miss this interview below. https://t.co/QA9kjOWCOn"
2020-10-13 06:54:00,Always safe Katie! https://t.co/K5ALgSYUxJ
2020-10-13 06:55:00,"RT @SenJoniErnst: Only 100 years ago, women in this country were given the right to vote. And today, we began considering adding another woman to the highest Court in the land. 

My opening statement: https://t.co/Rtv5ZrXRpW"
2020-10-13 07:00:00,"Thank you, so nice! https://t.co/7GlapStrEB"
2020-10-13 07:10:00,Thank you Greg. You got their Hoax right from the beginning! https://t.co/3ql3nADDD9
2020-10-13 07:13:00,"RT @dbongino: It’s Tuesday, October 13th 2020, and Barack Obama was the most corrupt President in US history.
#Obamagate"
2020-10-13 07:29:00,"RT @seanhannity: #HANNITY: Biden disrespects voters with court-packing dodge. Exclusive: @LawrenceBJones3 talks to Trump supporters in FL. Plus: SCOTUS battle in the Senate. Guests: @LindseyGrahamSC, @JonathanTurley, @AriFleischer, @NewtGingrich, @GeraldoRivera &amp; @DBongino. Watch 9PM EST or DVR!"
2020-10-13 07:37:00,"Congratulations Dan. You, Breitbart and others have decimated the business at Drudge. It’s gone the way of the @NBA, ratings down 70%. People want the TRUTH! Drudge Report sold out, suffered a massive “nervous breakdown”. Happening @FoxNews also??? https://t.co/Zr07XdHtNx"
2020-10-13 07:44:00,"California hired a pure Sleepy Joe Democrat firm to count and “harvest” votes. No way Republicans get a fair shake. Lawyers, get started!!! @GOPLeader  California is in big trouble. Vote Trump and watch the greatest comeback of them all!!! Also, New York and Illinois - go for it!"
2020-10-13 07:50:00,"Republicans will be providing far better Healthcare than the Democrats, at a far lower cost...And will always protect people with Pre-existing conditions!!!!"
2020-10-13 08:01:00,"We love the people of Lake Charles, Louisiana. You’ve been hit hard , and often, but your Federal Government is there to help. It will all work out, and FAST!!! @fema @USArmy"
2020-10-13 08:11:00,"Actually, Tony’s pitching arm is far more accurate than his prognostications. “No problem, no masks”. WHO no longer likes Lockdowns - just came out against. Trump was right. We saved 2,000,000 USA lives!!! https://t.co/YyLyCsbZ7a"
2020-10-13 09:43:00,“The Radical Left is trying hard to undermine the Christopher Columbus legacy. A great Italian opened new chapter in history of humanity by discovering the Americas”.  @OANN  Not on my watch!
2020-10-13 11:05:00,"RT @gmoomaw: Virginia’s voter registration system reportedly having problems on the last day to register to vote, with early voting in full swing https://t.co/e6npNCYZLI"
2020-10-13 12:28:00,"Join me tonight at 7:00pmE in Johnstown, Pennsylvania at the John Murtha Johnstown-Cambria County Airport! #MAGA https://t.co/8o9QHHDn1h"
2020-10-13 12:30:00,"Join me tomorrow tonight (Wednesday) in Iowa, at the Des Moines International Airport! https://t.co/92lmaoNdTo"
2020-10-13 12:34:00,"Join me on Thursday afternoon (1:00pmE) in Greenville, North Carolina at the Pitt-Greenville Airport! #MAGA https://t.co/owg9pSXWJz"
2020-10-13 12:36:00,"Join me Friday (10/16) in Ocala, Florida at the Ocala International Airport at 4:00pmE! #MAGA https://t.co/ZVRMGBCE1c"
2020-10-13 12:41:00,"Join me Friday (10/16) evening at 7:00pmE in Macon, Georgia at the Middle Georgia Regional Airport! #MAGA https://t.co/rZbqKTueVg"
2020-10-13 12:43:00,"Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain
https://t.co/3AnrRV7uSz"
2020-10-13 12:48:00,Happy 245th Birthday to our GREAT @USNavy! #Navy245 https://t.co/EEGIwCh0wD
2020-10-13 13:56:00,Early voting is underway in the Great States of GEORGIA and TEXAS. Find out where to early vote by clicking below! #MAGA https://t.co/gsFSghkmdM
2020-10-13 17:56:00,"How dare failed Presidential Candidate (1% and falling!) @CoryBooker make false charges and statements about me in addressing Judge Barrett. Illegally, never even lived in Newark when he was Mayor. Guy is a total loser! I want better Healthcare for far less money, always....."
2020-10-13 17:56:00,"....protecting people with Pre-existing conditions. He has done nothing on Healthcare, cost or otherwise, or virtually anything else. An empty suit!!!"
2020-10-13 18:40:00,Totally Negative China Virus Reports. Hit it early and hard. Fake News is devastated. They are very bad (and sick!) people!
2020-10-13 18:41:00,"Getting ready to land in Johnstown, Pennsylvania. Big crowd. See you soon!!!"
2020-10-13 19:24:00,"Watch @OANN, @newsmax, @cspan. Just arrived in Pennsylvania. Enjoy!"
2020-10-13 21:00:00,You mean only Democrats are allowed to do this? But haven’t the Dems been doing this for years? See you in court. Fight hard Republicans! https://t.co/vaToeGB2ze
2020-10-13 21:06:00,"Thank you Johnstown, Pennsylvania! https://t.co/mdHfNODJCT"
2020-10-13 21:18:00,"One of the most important issues for Pennsylvania is the survival of your fracking industry. Joe Biden has repeatedly pledged to abolish fracking. When asked about fracking, Biden said he would “make sure it’s ELIMINATED!” With me, you’re going to FRACK! https://t.co/tHt7Chh4jB"
2020-10-13 21:19:00,"This election is a simple choice: If Biden Wins, China Wins. When WE Win, YOU WIN, Pennsylvania WINS, and America WINS! https://t.co/dgx92ZxsBO"
2020-10-13 21:23:00,"Proud citizens like you helped build this Country—and together, we are taking back our Country. We are returning power to YOU, the American People! #MAGA https://t.co/rn69eJJAPV"
2020-10-13 21:25:00,"For years you had a President who apologized for America – now you have a President who is standing up for America, and standing up for Pennsylvania. So get your friends, get your family, get your neighbors, and GET OUT AND VOTE! https://t.co/gsFSgh2KPc https://t.co/xfZtBixRkk"
2020-10-13 21:50:00,https://t.co/wJN4zv0y8O
2020-10-13 22:37:00,"RT @Seitzer1: UFC’s @GamebredFighter gives one of the best “vote for Trump” speeches I’ve heard!
https://t.co/YstONQTYeF"
2020-10-13 23:08:00,I will never let you down! #MAGA https://t.co/22qkatrJb2
2020-10-13 23:24:00,RT @VFL2013: Well... 🇺🇸👀🇺🇸👀🇺🇸👀 https://t.co/G0NayVPgIV
2020-10-13 23:26:00,RT @MrAndyNgo: Tonight the “indigenous” faction of antifa held a “day of rage” riot in Portland. They banned video recording as the criminal acts were planned ahead. They’ve toppled the statues of Roosevelt &amp; Lincoln so far using chains. #PortlandRiots https://t.co/PkTqxeCLIj
2020-10-13 23:27:00,"RT @BreitbartNews: Facebook has reportedly disabled the account of former U.S. Marine Corps Sergeant John “Tig” Tiegen, one of the men who helped defend the U.S. consulate in Benghazi in 2012, now a conservative activist and public speaker. https://t.co/3M9isuazGR"
2020-10-13 23:31:00,RT @stillgray: Extended sequence of events in Denver. The victim backed off. He never stood a chance. https://t.co/4HSSYQ1wrx
2020-10-13 23:31:00,"RT @TaylerUSA: Yesterday in Denver a Conservative was executed by Matt Dolloff 

@DenverPolice claim he has no connections to ANTIFA, but that’s not what the evidence says.

This is a thread EXPOSING the truth behind the murder. https://t.co/mxE5VqPsmi"
2020-10-13 23:32:00,"RT @McguireScotty: This is Lee Keltner. He is the victim of the Denver shooting. He made cowboy hats.

Denver has a DemocRat mayor

 Pray for Lee Keltner's family.
 https://t.co/ivZA5SEn1x"
2020-10-13 23:38:00,https://t.co/75J7mUX0Iy
2020-10-13 23:43:00,"Virginia, VOTE for President Trump and save your under siege 2nd Amendment. https://t.co/V0AGM7gLaL"
2020-10-13 23:47:00,Vote for Trump. Save your 2nd Amendment! https://t.co/QYt5K7oYws
2020-10-14 00:08:00,Great night in Pennsylvania. Big and Enthusiastic Crowd. Will be back soon. VOTE!!!
2020-10-14 01:31:00,"RT @GaryCoby: YES! Watch... @GamebredFighter 

#MAGA #SuperBowl 

https://t.co/2bgAdkMFJv"
2020-10-14 08:52:00,https://t.co/gsFSghkmdM
2020-10-14 10:14:00,Fight hard Republicans. They have been taking advantage of the system for years! https://t.co/vaToeGjrHG
2020-10-14 10:29:00,"Georgia, this is your chance to MAKE AMERICA GREAT AGAIN. We have been strong for our Military, Vets, 2nd Amendment, and ALL. VOTE NOW!"
2020-10-14 13:12:00,"RT @HerschelWalker: GEORGIA, Let's go VOTE to keep our Freedoms for the best country in the world! 🇺🇸🇺🇸🇺🇸@potus  #MAGA2020 #Trump2020 #KAG2020 https://t.co/JSx1MtECjn"
2020-10-14 16:28:00,"Just left the White House, on my way to the Great State of Iowa! https://t.co/fSphwlO7QI"
2020-10-14 18:09:00,"So terrible that Facebook and Twitter took down the story of “Smoking Gun” emails related to Sleepy Joe Biden and his son, Hunter, in the @NYPost. It is only the beginning for them. There is nothing worse than a corrupt politician. REPEAL SECTION 230!!! https://t.co/g1RJFpIVUZ"
2020-10-14 18:56:00,https://t.co/fVcn4CO3SQ
2020-10-14 19:06:00,https://t.co/d7HGsJhj8Q
2020-10-14 21:52:00,THANK YOU IOWA! #MAGA https://t.co/cD5CaGu1cr
2020-10-14 21:54:00,"I was thrilled to be back in the American Heartland with thousands of loyal, hardworking IOWA Patriots! 20 days from now, we are going to win IOWA, and we are going to win 4 more years in the White House! https://t.co/TZtkDZWFUJ"
2020-10-14 21:56:00,"Joe Biden must immediately release all emails, meetings, phone calls, transcripts, and records related to his involvement in his family’s business dealings and influence peddling around the world—including in CHINA!
https://t.co/H8RSR1tljV"
2020-10-14 22:06:00,https://t.co/yJ2qjsPsGV
2020-10-14 22:06:00,https://t.co/Jg5Vgsw9JY
2020-10-14 23:20:00,"Jorge, your really tough and really smart. My Great Honor to have your support! @GamebredFighter https://t.co/cehUjvCDUn"
2020-10-14 23:22:00,Congratulations to the @nypost for having exposed the massive corruption surrounding Sleepy Joe Biden and our Country. He’s always been a corrupt politician. Disgraceful!
2020-10-14 23:26:00,https://t.co/thnTEgTJFX
2020-10-14 23:53:00,"I’ve gone through years of a Fake, Illegal, and Totally Discredited Witch-Hunt, and now it’s revealed that it was a Hoax by the “other side”, which must pay a price for what they did. Think of where we’d be now without Fake &amp; Fraudulent stories every night, for years!!!"
2020-10-15 00:19:00,RT @GamebredFighter: https://t.co/GE2NiJUxDc and learn how to protect yourselves from hooligans and other antifa like individuals #supernecessary https://t.co/ZvLPF2c2Hf
2020-10-15 00:19:00,"RT @QAnalyst45: Had to come back to share this one 

🙌🏻👏🙌🏻👏🙌🏻👏 https://t.co/M45YillmXT"
2020-10-15 00:21:00,"Jorge, you’re really tough and really smart. My Great Honor to have your support! @GamebredFighter https://t.co/cehUjvCDUn"
2020-10-15 00:24:00,https://t.co/jarbmPNJvp
2020-10-15 00:27:00,https://t.co/OAu6H3Hggx
2020-10-15 00:27:00,"People are fleeing California. Taxes too high, Crime too high, Brownouts too many, Lockdowns too severe. VOTE FOR TRUMP, WHAT THE HELL DO YOU HAVE TO LOSE!!!"
2020-10-15 00:34:00,"Nancy Pelosi couldn’t care less about the American People or the great American Worker. She should approve needed STIMULUS now. Most other Dems agree. Republicans are ready to go, I am ready to sign!!!"
2020-10-15 00:37:00,VOTE TRUMP. SAVE YOUR 2ND. AMENDMENT. https://t.co/oj45494xG5
2020-10-15 01:03:00,"RT @FLOTUS: To all who have reached out - thank you. Here is my personal experience with COVID-19 :
https://t.co/XUysq0KVaY"
2020-10-15 04:59:00,So many great people mentioned in this article. Thank you! https://t.co/PPa50w38Ak
2020-10-15 05:17:00,"RT @GOP: ""I ran for President because I could not sit back any longer &amp; watch the terrible injustices being done to the American people...I cannot sit idly by &amp; watch career politicians like Joe Biden continue bleeding this country dry.""—@realDonaldTrump in Iowa https://t.co/AznvkG7D7J"
2020-10-15 05:17:00,"RT @GOP: ""Vice President Biden, you owe the people of America an apology, because it turns out you are a corrupt politician.""—@realDonaldTrump in Iowa https://t.co/LwjwGeccCD"
2020-10-15 05:18:00,"RT @GOP: ""Nobody is going to do for Iowa what I did for Iowa.""—@realDonaldTrump in Iowa https://t.co/2IwtwFUqcg"
2020-10-15 06:43:00,Nobody has ever done as much for Iowa as I have done for Iowa - Not even close!!! https://t.co/wvXnyYs7N9
2020-10-15 07:50:00,RT @Lauren_Southern: If you were serious about stopping this censorship you would hold a hearing for Nathan Simington. @SenatorWicker https://t.co/ipqDpsyJPy
2020-10-15 07:51:00,RT @Project_Veritas: Hey @realdonaldtrump - can you believe this? We caught @jack from @Twitter removing retweets from our video. https://t.co/SiPxSpHkF6
2020-10-15 07:56:00,"RT @scrowder: Shortly after the @Facebook Communications director admitted they were shadow banning today's Biden exposé, @Twitter has now completely blocked the story from their platform.

Big Tech is trying to steal an election. https://t.co/WDMHdW8g61"
2020-10-15 07:56:00,RT @scrowder: It is VERY clear watching these hearings that Amy Coney Barrett will be confirmed. The Democrats have got nothin’.
2020-10-15 07:56:00,RT @scrowder: At what point is @Facebook election meddling? https://t.co/xMrunzQlNM
2020-10-15 08:02:00,"RT @BeanfromPa: Hey Quid Pro Joe 

#BidenCrimeFamily https://t.co/Asmt7KHHND"
2020-10-15 08:03:00,RT @BeanfromPa: Joe also supports BLM #BidenCrimeFamily https://t.co/zsBkO4kTxj
2020-10-15 08:03:00,"RT @Styx666Official: https://t.co/g9fedcefdU

The Hunter Biden email bombshell prompted massive damage control by the legacy media and a rapid censorship campaign by Twitter and Facebook- which has backfired. (DM) #HunterBiden #BidenCrimeFamily"
2020-10-15 08:03:00,"RT @BeanfromPa: @Twitter in the bag for the  #BidenCrimeFamily making up lies 

Joe bragged about it! https://t.co/Zb6RDSz2hu"
2020-10-15 08:04:00,"RT @DTCahill: People under 40 yrs old have no clue, but @RudyGiuliani single handily took down the largest organized crime syndicate in America - the Mafia. 

Exposing the #BidenCrimeFamily is peanuts for Rudy.

Must watch ... 

https://t.co/bChgPYs6jq"
2020-10-15 08:05:00,"RT @RealVinnieJames: NY Post just dropped another BOMBSHELL regarding the #BidenCrimeFamily! 

SEARCH STRING:

""Emails reveal how Hunter Biden tried to cash in big on behalf of family with Chinese firm""

😡😡😡😡😡😡 -VJ"
2020-10-15 08:05:00,RT @DaisyCousens: Had to see for myself lol. Twitter is meddling in the 2020 election by covering up corruption and lies from its preferred candidate. It will not even let me tweet the link as a Tinyurl. This is YUGE. #Biden #BidenCrimeFamily https://t.co/ypn17mygl5
2020-10-15 08:06:00,"RT @RudyGiuliani: Biden can’t stand up to China.

They own him.

His son,brother and sister-in-law are,and have been, partners with businesses owned by Communist China and high level members of the CCP.

Records I have seen show over $30 million paid to the #BidenCrimeFamily and a lot more to go."
2020-10-15 08:07:00,"RT @Hansen4Congress: Come on, Man! When is @georgesoros going to pay people to attend my rallies? Or is he too busy printing extra ballots and ballot harvesting? Let’s hope the right people are paying attention. #MailInBallotFraud #BidenCrimeFamily #WheresHunter 
🇺🇸#Trump2020 #KAG https://t.co/ru1SrN6EhO https://t.co/ddmWgznTHk"
2020-10-15 08:08:00,"RT @Hansen4Congress: Does this have your attention @JoeBiden? Good luck trying to explain it next week at the debate!
#WheresHunter #BidenCrimeFamily #Trump2020 #KAG https://t.co/zlaqB8d8TO"
2020-10-15 09:32:00,Will be interviewed by @Varneyco on @FoxBusiness  at 10:00 A.M.  Enjoy!
2020-10-15 11:10:00,Heading to North Carolina soon. Really Big Crowd. We will have a great time!!!
2020-10-15 11:37:00,https://t.co/1IfV0MC0zk
2020-10-15 11:38:00,If Biden wins—China will OWN the United States... https://t.co/lFGOlCf82y
2020-10-15 11:54:00,"Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain
https://t.co/3AnrRV7uSz"
2020-10-15 13:14:00,"THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD"
2020-10-15 15:10:00,RT @WashTimes: Hunter Biden demanded Chinese billionaire pay $10 million for ‘introductions alone’  https://t.co/aecKCvvsHo
2020-10-15 15:20:00,"It was great to be back in North Carolina with thousands of loyal, hardworking American Patriots! This election is a simple choice: If Biden Wins, China Wins. When WE Win, YOU WIN, North Carolina WINS, and America WINS! https://t.co/jWYVYZdT3E"
